Index,file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,Complexity_Voigt,Complexity_FFT
0,20210722_Tvib300K_Trot300K.spec,0.00046277046203600005,5.00679016113281e-06,0.0009319782257080001,0.013980388641358,5000.0,300,296,300,300,0.000347375869751,0.000679016113281,cython,300,fft,0.002844333648682,0.024588584899902,0.000717878341675,0.001242876052856,0.04,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963034.56201,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.008910179138184,1000,"{'_check_line_databank': 0.00034737586975097656, 'reinitialize_1': 0.0007293224334716797, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0013949871063232422, 'reinitialize_4': 3.218650817871094e-05, 'reinitialize': 0.0021736621856689453, 'scaled_eq_linestrength': 0.0058746337890625, 'calc_lineshift': 0.0007178783416748047, 'calc_hwhm': 0.0028443336486816406, '_generate_wavenumber_arrays': 0.00067901611328125, 'precompute_DLM_lineshapes': 0.008910179138183594, 'DLM_Initialized_vectors': 5.0067901611328125e-06, 'DLM_closest_matching_line': 0.0009319782257080078, 'DLM_Distribute_lines': 0.0004627704620361328, 'DLM_convolve': 0.013980388641357422, 'calc_line_broadening': 0.024588584899902344, 'calc_other_spectral_quan': 0.0012428760528564453, 'spectrum_calc_before_obj': 0.03852057456970215}",0,0.9.29,0.002173662185669,0.000729322433472,1.16825103759766e-05,0.001394987106323,3.2186508178710904e-05,boltzmann,0.0058746337890630005,1,0.038520574569702,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.08,5003,341303415.9857385,681375.4553132991
1,20210722_Tvib300K_Trot300K_1.spec,0.000774383544922,1.59740447998047e-05,0.0012440681457519997,0.014685869216918999,5128.20512820513,300,296,300,300,0.00037193298339799997,0.0007176399230960001,cython,300,fft,0.002951860427856,0.030297994613648002,0.0007615089416499999,0.0009298324584960001,0.05,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963034.71001,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.013334274291991998,1000,"{'_check_line_databank': 0.0003719329833984375, 'reinitialize_1': 0.0012755393981933594, 'reinitialize_2': 1.1920928955078125e-05, 'reinitialize_3': 0.0017733573913574219, 'reinitialize_4': 3.3855438232421875e-05, 'reinitialize': 0.003099679946899414, 'scaled_eq_linestrength': 0.01124429702758789, 'calc_lineshift': 0.0007615089416503906, 'calc_hwhm': 0.0029518604278564453, '_generate_wavenumber_arrays': 0.0007176399230957031, 'precompute_DLM_lineshapes': 0.013334274291992188, 'DLM_Initialized_vectors': 1.5974044799804688e-05, 'DLM_closest_matching_line': 0.0012440681457519531, 'DLM_Distribute_lines': 0.000774383544921875, 'DLM_convolve': 0.014685869216918945, 'calc_line_broadening': 0.03029799461364746, 'calc_other_spectral_quan': 0.0009298324584960938, 'spectrum_calc_before_obj': 0.05044221878051758}",0,0.9.29,0.0030996799468990003,0.001275539398193,1.19209289550781e-05,0.0017733573913570001,3.38554382324219e-05,boltzmann,0.011244297027588002,1,0.050442218780517994,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.078,5003,350677993.2075504,700923.9794379922
2,20210722_Tvib300K_Trot300K_2.spec,0.0007419586181639999,7.867813110351559e-06,0.00111722946167,0.002231359481812,5263.15789473684,300,296,300,300,0.000320196151733,0.00078821182251,cython,300,fft,0.003557205200195,0.013959169387817,0.000774145126343,0.000890016555786,0.03,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963034.84201,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009674787521362,1000,"{'_check_line_databank': 0.00032019615173339844, 'reinitialize_1': 0.0011730194091796875, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0013647079467773438, 'reinitialize_4': 3.123283386230469e-05, 'reinitialize': 0.002584218978881836, 'scaled_eq_linestrength': 0.005899190902709961, 'calc_lineshift': 0.0007741451263427734, 'calc_hwhm': 0.0035572052001953125, '_generate_wavenumber_arrays': 0.0007882118225097656, 'precompute_DLM_lineshapes': 0.009674787521362305, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0011172294616699219, 'DLM_Distribute_lines': 0.0007419586181640625, 'DLM_convolve': 0.0022313594818115234, 'calc_line_broadening': 0.013959169387817383, 'calc_other_spectral_quan': 0.0008900165557861328, 'spectrum_calc_before_obj': 0.028850555419921875}",0,0.9.29,0.002584218978882,0.00117301940918,1.09672546386719e-05,0.001364707946777,3.12328338623047e-05,boltzmann,0.005899190902710001,1,0.028850555419922,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.076,5003,360562584.2642522,721556.756699266
3,20210722_Tvib300K_Trot300K_3.spec,0.0009503364562989999,1.4305114746093803e-05,0.0011734962463380001,0.017458438873291,5405.40540540541,300,296,300,300,0.00033116340637199995,0.0006837844848630001,cython,300,fft,0.0036451816558840003,0.029031991958617998,0.000727415084839,0.001028537750244,0.04,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963034.99001,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009198427200317,1000,"{'_check_line_databank': 0.0003311634063720703, 'reinitialize_1': 0.001194000244140625, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.001352071762084961, 'reinitialize_4': 3.147125244140625e-05, 'reinitialize': 0.0025932788848876953, 'scaled_eq_linestrength': 0.005720376968383789, 'calc_lineshift': 0.0007274150848388672, 'calc_hwhm': 0.003645181655883789, '_generate_wavenumber_arrays': 0.0006837844848632812, 'precompute_DLM_lineshapes': 0.009198427200317383, 'DLM_Initialized_vectors': 1.430511474609375e-05, 'DLM_closest_matching_line': 0.0011734962463378906, 'DLM_Distribute_lines': 0.0009503364562988281, 'DLM_convolve': 0.017458438873291016, 'calc_line_broadening': 0.029031991958618164, 'calc_other_spectral_quan': 0.0010285377502441406, 'spectrum_calc_before_obj': 0.04384756088256836}",0,0.9.29,0.002593278884888,0.001194000244141,1.12056732177734e-05,0.001352071762085,3.14712524414062e-05,boltzmann,0.005720376968384,1,0.043847560882568,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07400000000000001,5003,370999451.8713643,743364.7336550017
4,20210722_Tvib300K_Trot300K_4.spec,0.0008940696716310001,1.00135803222656e-05,0.0013861656188960002,0.019877910614014,5555.55555555556,300,296,300,300,0.000860214233398,0.000843048095703,cython,300,fft,0.003393650054932,0.032841444015503,0.0009541511535639998,0.000879764556885,0.05,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.14601,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.010451316833496,1000,"{'_check_line_databank': 0.0008602142333984375, 'reinitialize_1': 0.0014722347259521484, 'reinitialize_2': 1.1920928955078125e-05, 'reinitialize_3': 0.0014600753784179688, 'reinitialize_4': 3.2901763916015625e-05, 'reinitialize': 0.0029823780059814453, 'scaled_eq_linestrength': 0.0065174102783203125, 'calc_lineshift': 0.0009541511535644531, 'calc_hwhm': 0.0033936500549316406, '_generate_wavenumber_arrays': 0.000843048095703125, 'precompute_DLM_lineshapes': 0.010451316833496094, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0013861656188964844, 'DLM_Distribute_lines': 0.0008940696716308594, 'DLM_convolve': 0.019877910614013672, 'calc_line_broadening': 0.03284144401550293, 'calc_other_spectral_quan': 0.0008797645568847656, 'spectrum_calc_before_obj': 0.049368858337402344}",0,0.9.29,0.002982378005981,0.001472234725952,1.19209289550781e-05,0.001460075378418,3.29017639160156e-05,boltzmann,0.006517410278319999,1,0.049368858337402,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07200000000000001,5003,382035631.5128074,766449.2184065842
5,20210722_Tvib300K_Trot300K_5.spec,0.0009014606475830001,7.867813110351559e-06,0.00141167640686,0.019522905349732,5714.28571428572,300,296,300,300,0.000337362289429,0.000902891159058,cython,300,fft,0.0037963390350340006,0.031561136245728,0.000976324081421,0.0009465217590329999,0.05,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.29401,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009345769882202,1000,"{'_check_line_databank': 0.00033736228942871094, 'reinitialize_1': 0.0011887550354003906, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.001352071762084961, 'reinitialize_4': 3.123283386230469e-05, 'reinitialize': 0.002588510513305664, 'scaled_eq_linestrength': 0.005987644195556641, 'calc_lineshift': 0.0009763240814208984, 'calc_hwhm': 0.0037963390350341797, '_generate_wavenumber_arrays': 0.0009028911590576172, 'precompute_DLM_lineshapes': 0.009345769882202148, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0014116764068603516, 'DLM_Distribute_lines': 0.0009014606475830078, 'DLM_convolve': 0.019522905349731445, 'calc_line_broadening': 0.03156113624572754, 'calc_other_spectral_quan': 0.0009465217590332031, 'spectrum_calc_before_obj': 0.04717588424682617}",0,0.9.29,0.002588510513306,0.0011887550354,1.12056732177734e-05,0.001352071762085,3.12328338623047e-05,boltzmann,0.005987644195556999,1,0.04717588424682599,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07,5003,393723622.18140274,790923.3905408704
6,20210722_Tvib300K_Trot300K_6.spec,0.0008063316345210001,6.67572021484375e-06,0.001163721084595,0.019644021987915,5882.352941176469,300,296,300,300,0.00034141540527299997,0.0006628036499019998,cython,300,fft,0.0041043758392329995,0.030354738235474,0.000730037689209,0.000957250595093,0.05,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.43801,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.008581161499023,1000,"{'_check_line_databank': 0.0003414154052734375, 'reinitialize_1': 0.0013937950134277344, 'reinitialize_2': 1.239776611328125e-05, 'reinitialize_3': 0.0015914440155029297, 'reinitialize_4': 3.504753112792969e-05, 'reinitialize': 0.0030410289764404297, 'scaled_eq_linestrength': 0.0056459903717041016, 'calc_lineshift': 0.0007300376892089844, 'calc_hwhm': 0.0041043758392333984, '_generate_wavenumber_arrays': 0.0006628036499023438, 'precompute_DLM_lineshapes': 0.008581161499023438, 'DLM_Initialized_vectors': 6.67572021484375e-06, 'DLM_closest_matching_line': 0.0011637210845947266, 'DLM_Distribute_lines': 0.0008063316345214844, 'DLM_convolve': 0.01964402198791504, 'calc_line_broadening': 0.030354738235473633, 'calc_other_spectral_quan': 0.0009572505950927734, 'spectrum_calc_before_obj': 0.0458989143371582}",0,0.9.29,0.00304102897644,0.001393795013428,1.23977661132813e-05,0.0015914440155029997,3.50475311279297e-05,boltzmann,0.005645990371704,1,0.045898914337157995,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.068,5003,406122200.3455118,816914.0819683773
7,20210722_Tvib300K_Trot300K_7.spec,0.0008592605590819999,8.58306884765625e-06,0.001144886016846,0.0037252902984619995,6060.606060606059,300,296,300,300,0.00033497810363800003,0.00068736076355,cython,300,fft,0.0037257671356199997,0.015541315078735,0.0007925033569339999,0.0007760524749760001,0.03,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.57001,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009437799453735001,1000,"{'_check_line_databank': 0.0003349781036376953, 'reinitialize_1': 0.0011992454528808594, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0014202594757080078, 'reinitialize_4': 3.361701965332031e-05, 'reinitialize': 0.002669095993041992, 'scaled_eq_linestrength': 0.006136894226074219, 'calc_lineshift': 0.0007925033569335938, 'calc_hwhm': 0.003725767135620117, '_generate_wavenumber_arrays': 0.0006873607635498047, 'precompute_DLM_lineshapes': 0.009437799453735352, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.0011448860168457031, 'DLM_Distribute_lines': 0.0008592605590820312, 'DLM_convolve': 0.003725290298461914, 'calc_line_broadening': 0.015541315078735352, 'calc_other_spectral_quan': 0.0007760524749755859, 'spectrum_calc_before_obj': 0.03072333335876465}",0,0.9.29,0.0026690959930420004,0.001199245452881,1.12056732177734e-05,0.001420259475708,3.36170196533203e-05,boltzmann,0.006136894226074,1,0.030723333358765,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.066,5003,419297383.5263968,844563.8869395094
8,20210722_Tvib300K_Trot300K_8.spec,0.0009398460388180001,9.05990600585938e-06,0.001190900802612,0.017888784408569,6250.0,300,296,300,300,0.000335693359375,0.000812530517578,cython,300,fft,0.003355979919434,0.030453443527222002,0.0007419586181639999,0.000963926315308,0.04,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.71001,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.010220289230347,1000,"{'_check_line_databank': 0.000335693359375, 'reinitialize_1': 0.0011818408966064453, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0013685226440429688, 'reinitialize_4': 3.218650817871094e-05, 'reinitialize': 0.002598285675048828, 'scaled_eq_linestrength': 0.005610466003417969, 'calc_lineshift': 0.0007419586181640625, 'calc_hwhm': 0.0033559799194335938, '_generate_wavenumber_arrays': 0.000812530517578125, 'precompute_DLM_lineshapes': 0.01022028923034668, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0011909008026123047, 'DLM_Distribute_lines': 0.0009398460388183594, 'DLM_convolve': 0.017888784408569336, 'calc_line_broadening': 0.03045344352722168, 'calc_other_spectral_quan': 0.0009639263153076172, 'spectrum_calc_before_obj': 0.04494166374206543}",0,0.9.29,0.002598285675049,0.001181840896606,1.1444091796875e-05,0.001368522644043,3.2186508178710904e-05,boltzmann,0.005610466003418,1,0.044941663742066,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.064,5003,433323576.5215994,874033.6742730447
9,20210722_Tvib300K_Trot300K_9.spec,0.0008482933044430001,8.344650268554691e-06,0.0011808872222899998,0.019246578216553,6451.61290322581,300,296,300,300,0.000331878662109,0.000724792480469,cython,300,fft,0.004276752471924001,0.0303213596344,0.0007317066192630001,0.0011153221130369999,0.05,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.8540099,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.008845090866089,1000,"{'_check_line_databank': 0.000331878662109375, 'reinitialize_1': 0.001188039779663086, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0013611316680908203, 'reinitialize_4': 3.147125244140625e-05, 'reinitialize': 0.0025963783264160156, 'scaled_eq_linestrength': 0.005519866943359375, 'calc_lineshift': 0.0007317066192626953, 'calc_hwhm': 0.004276752471923828, '_generate_wavenumber_arrays': 0.00072479248046875, 'precompute_DLM_lineshapes': 0.008845090866088867, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.001180887222290039, 'DLM_Distribute_lines': 0.0008482933044433594, 'DLM_convolve': 0.019246578216552734, 'calc_line_broadening': 0.030321359634399414, 'calc_other_spectral_quan': 0.0011153221130371094, 'spectrum_calc_before_obj': 0.04569673538208008}",0,0.9.29,0.002596378326416,0.001188039779663,1.09672546386719e-05,0.001361131668091,3.14712524414062e-05,boltzmann,0.005519866943359,1,0.04569673538208,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.062,5003,448284941.9055868,905505.593914326
10,20210722_Tvib300K_Trot300K_10.spec,0.000946044921875,8.10623168945313e-06,0.0011999607086180001,0.003963947296143,6666.66666666667,300,296,300,300,0.000353813171387,0.0007107257843019999,cython,300,fft,0.002906560897827,0.016898632049561,0.0007171630859380001,0.0010268688201900001,0.03,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963035.98601,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.010358333587647,1000,"{'_check_line_databank': 0.00035381317138671875, 'reinitialize_1': 0.0012629032135009766, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0014407634735107422, 'reinitialize_4': 3.457069396972656e-05, 'reinitialize': 0.002754688262939453, 'scaled_eq_linestrength': 0.006363868713378906, 'calc_lineshift': 0.0007171630859375, 'calc_hwhm': 0.0029065608978271484, '_generate_wavenumber_arrays': 0.0007107257843017578, 'precompute_DLM_lineshapes': 0.010358333587646484, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.001199960708618164, 'DLM_Distribute_lines': 0.000946044921875, 'DLM_convolve': 0.003963947296142578, 'calc_line_broadening': 0.016898632049560547, 'calc_other_spectral_quan': 0.0010268688201904297, 'spectrum_calc_before_obj': 0.0317988395690918}",0,0.9.29,0.0027546882629390004,0.0012629032135010002,1.12056732177734e-05,0.001440763473511,3.4570693969726596e-05,boltzmann,0.006363868713379001,1,0.031798839569092005,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.06,5003,464277047.63277525,939186.694812589
11,20210722_Tvib300K_Trot300K_11.spec,0.0009372234344480001,7.152557373046879e-06,0.001188039779663,0.0030233860015869995,6896.551724137939,300,296,300,300,0.000345706939697,0.0006718635559079999,cython,300,fft,0.002866268157959,0.015170335769653,0.000744104385376,0.00096869468689,0.03,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963036.11801,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009848356246948,1000,"{'_check_line_databank': 0.0003457069396972656, 'reinitialize_1': 0.001405954360961914, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0018322467803955078, 'reinitialize_4': 3.695487976074219e-05, 'reinitialize': 0.0032927989959716797, 'scaled_eq_linestrength': 0.0061109066009521484, 'calc_lineshift': 0.0007441043853759766, 'calc_hwhm': 0.0028662681579589844, '_generate_wavenumber_arrays': 0.0006718635559082031, 'precompute_DLM_lineshapes': 0.009848356246948242, 'DLM_Initialized_vectors': 7.152557373046875e-06, 'DLM_closest_matching_line': 0.001188039779663086, 'DLM_Distribute_lines': 0.0009372234344482422, 'DLM_convolve': 0.003023386001586914, 'calc_line_broadening': 0.01517033576965332, 'calc_other_spectral_quan': 0.0009686946868896484, 'spectrum_calc_before_obj': 0.030236005783081055}",0,0.9.29,0.0032927989959720006,0.0014059543609620001,1.16825103759766e-05,0.0018322467803960003,3.695487976074221e-05,boltzmann,0.006110906600951999,1,0.030236005783081003,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.057999999999999996,5003,481408859.26179045,975313.3037841338
12,20210722_Tvib300K_Trot300K_12.spec,0.000879287719727,1.07288360595703e-05,0.001139402389526,0.024066686630249,7142.8571428571495,300,296,300,300,0.00046372413635300007,0.0006706714630130001,cython,300,fft,0.0029251575469970005,0.035362958908081006,0.000711679458618,0.0010268688201900001,0.05,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963036.27401,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009055137634277,1000,"{'_check_line_databank': 0.00046372413635253906, 'reinitialize_1': 0.0014719963073730469, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0016102790832519531, 'reinitialize_4': 3.4332275390625e-05, 'reinitialize': 0.003133058547973633, 'scaled_eq_linestrength': 0.006541252136230469, 'calc_lineshift': 0.0007116794586181641, 'calc_hwhm': 0.0029251575469970703, '_generate_wavenumber_arrays': 0.0006706714630126953, 'precompute_DLM_lineshapes': 0.009055137634277344, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.0011394023895263672, 'DLM_Distribute_lines': 0.0008792877197265625, 'DLM_convolve': 0.024066686630249023, 'calc_line_broadening': 0.035362958908081055, 'calc_other_spectral_quan': 0.0010268688201904297, 'spectrum_calc_before_obj': 0.05089998245239258}",0,0.9.29,0.0031330585479740006,0.001471996307373,1.09672546386719e-05,0.001610279083252,3.4332275390625e-05,boltzmann,0.0065412521362299995,1,0.050899982452392994,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.055999999999999994,5003,499805163.77181214,1014156.3583262834
13,20210722_Tvib300K_Trot300K_13.spec,0.000932693481445,8.10623168945313e-06,0.001168727874756,0.008339405059814,7407.40740740741,300,296,300,300,0.000335693359375,0.0007498264312739999,cython,300,fft,0.003387451171875,0.020354270935059,0.00081992149353,0.0009655952453610002,0.04,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963036.41401,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009713172912598,1000,"{'_check_line_databank': 0.000335693359375, 'reinitialize_1': 0.0012280941009521484, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0013859272003173828, 'reinitialize_4': 3.170967102050781e-05, 'reinitialize': 0.0026617050170898438, 'scaled_eq_linestrength': 0.006438732147216797, 'calc_lineshift': 0.0008199214935302734, 'calc_hwhm': 0.003387451171875, '_generate_wavenumber_arrays': 0.0007498264312744141, 'precompute_DLM_lineshapes': 0.009713172912597656, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.0011687278747558594, 'DLM_Distribute_lines': 0.0009326934814453125, 'DLM_convolve': 0.008339405059814453, 'calc_line_broadening': 0.020354270935058594, 'calc_other_spectral_quan': 0.0009655952453613281, 'spectrum_calc_before_obj': 0.03578519821166992}",0,0.9.29,0.0026617050170900003,0.001228094100952,1.1444091796875e-05,0.001385927200317,3.17096710205078e-05,boltzmann,0.006438732147217,1,0.03578519821167,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.054000000000000006,5003,519609537.9264729,1056027.9442401004
14,20210722_Tvib300K_Trot300K_14.spec,0.0009312629699710001,2.86102294921875e-05,0.0015239715576170001,0.0034310817718509997,7692.307692307701,300,296,300,300,0.00037097930908199997,0.0007030963897709999,cython,300,fft,0.003426790237427,0.015218019485473999,0.000816583633423,0.0009353160858150001,0.03,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963036.54201,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,1,0.009036064147949,1000,"{'_check_line_databank': 0.00037097930908203125, 'reinitialize_1': 0.0016665458679199219, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0013685226440429688, 'reinitialize_4': 3.0517578125e-05, 'reinitialize': 0.0030825138092041016, 'scaled_eq_linestrength': 0.006597995758056641, 'calc_lineshift': 0.0008165836334228516, 'calc_hwhm': 0.003426790237426758, '_generate_wavenumber_arrays': 0.0007030963897705078, 'precompute_DLM_lineshapes': 0.009036064147949219, 'DLM_Initialized_vectors': 2.86102294921875e-05, 'DLM_closest_matching_line': 0.0015239715576171875, 'DLM_Distribute_lines': 0.0009312629699707031, 'DLM_convolve': 0.003431081771850586, 'calc_line_broadening': 0.015218019485473633, 'calc_other_spectral_quan': 0.0009353160858154297, 'spectrum_calc_before_obj': 0.031220197677612305}",0,0.9.29,0.003082513809204,0.0016665458679200002,1.1444091796875e-05,0.001368522644043,3.0517578125e-05,boltzmann,0.006597995758056999,1,0.031220197677612003,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.052000000000000005,5003,540988009.1876274,1101289.3670779942
