file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210722_Tvib300K_Trot300K.spec,0.0004627704620361328,5.0067901611328125e-06,0.0009319782257080078,0.013980388641357422,5000.000000000001,300.0,296.0,300.0,300.0,0.00034737586975097656,0.00067901611328125,cython,300.0,fft,0.0028443336486816406,0.024588584899902344,0.0007178783416748047,0.0012428760528564453,0.04,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963034.5620074,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.008910179138183594,1000.0,"{'_check_line_databank': 0.00034737586975097656, 'reinitialize_1': 0.0007293224334716797, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0013949871063232422, 'reinitialize_4': 3.218650817871094e-05, 'reinitialize': 0.0021736621856689453, 'scaled_eq_linestrength': 0.0058746337890625, 'calc_lineshift': 0.0007178783416748047, 'calc_hwhm': 0.0028443336486816406, '_generate_wavenumber_arrays': 0.00067901611328125, 'precompute_DLM_lineshapes': 0.008910179138183594, 'DLM_Initialized_vectors': 5.0067901611328125e-06, 'DLM_closest_matching_line': 0.0009319782257080078, 'DLM_Distribute_lines': 0.0004627704620361328, 'DLM_convolve': 0.013980388641357422, 'calc_line_broadening': 0.024588584899902344, 'calc_other_spectral_quan': 0.0012428760528564453, 'spectrum_calc_before_obj': 0.03852057456970215}",0.0,0.9.29,0.0021736621856689453,0.0007293224334716797,1.1682510375976562e-05,0.0013949871063232422,3.218650817871094e-05,boltzmann,0.0058746337890625,1.0,0.03852057456970215,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.07999999999999999,5003.0
20210722_Tvib300K_Trot300K_1.spec,0.000774383544921875,1.5974044799804688e-05,0.0012440681457519531,0.014685869216918945,5128.205128205129,300.0,296.0,300.0,300.0,0.0003719329833984375,0.0007176399230957031,cython,300.0,fft,0.0029518604278564453,0.03029799461364746,0.0007615089416503906,0.0009298324584960938,0.05,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963034.7100072,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.013334274291992188,1000.0,"{'_check_line_databank': 0.0003719329833984375, 'reinitialize_1': 0.0012755393981933594, 'reinitialize_2': 1.1920928955078125e-05, 'reinitialize_3': 0.0017733573913574219, 'reinitialize_4': 3.3855438232421875e-05, 'reinitialize': 0.003099679946899414, 'scaled_eq_linestrength': 0.01124429702758789, 'calc_lineshift': 0.0007615089416503906, 'calc_hwhm': 0.0029518604278564453, '_generate_wavenumber_arrays': 0.0007176399230957031, 'precompute_DLM_lineshapes': 0.013334274291992188, 'DLM_Initialized_vectors': 1.5974044799804688e-05, 'DLM_closest_matching_line': 0.0012440681457519531, 'DLM_Distribute_lines': 0.000774383544921875, 'DLM_convolve': 0.014685869216918945, 'calc_line_broadening': 0.03029799461364746, 'calc_other_spectral_quan': 0.0009298324584960938, 'spectrum_calc_before_obj': 0.05044221878051758}",0.0,0.9.29,0.003099679946899414,0.0012755393981933594,1.1920928955078125e-05,0.0017733573913574219,3.3855438232421875e-05,boltzmann,0.01124429702758789,1.0,0.05044221878051758,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.07799999999999999,5003.0
20210722_Tvib300K_Trot300K_2.spec,0.0007419586181640625,7.867813110351562e-06,0.0011172294616699219,0.0022313594818115234,5263.157894736843,300.0,296.0,300.0,300.0,0.00032019615173339844,0.0007882118225097656,cython,300.0,fft,0.0035572052001953125,0.013959169387817383,0.0007741451263427734,0.0008900165557861328,0.03,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963034.8420072,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009674787521362305,1000.0,"{'_check_line_databank': 0.00032019615173339844, 'reinitialize_1': 0.0011730194091796875, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0013647079467773438, 'reinitialize_4': 3.123283386230469e-05, 'reinitialize': 0.002584218978881836, 'scaled_eq_linestrength': 0.005899190902709961, 'calc_lineshift': 0.0007741451263427734, 'calc_hwhm': 0.0035572052001953125, '_generate_wavenumber_arrays': 0.0007882118225097656, 'precompute_DLM_lineshapes': 0.009674787521362305, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0011172294616699219, 'DLM_Distribute_lines': 0.0007419586181640625, 'DLM_convolve': 0.0022313594818115234, 'calc_line_broadening': 0.013959169387817383, 'calc_other_spectral_quan': 0.0008900165557861328, 'spectrum_calc_before_obj': 0.028850555419921875}",0.0,0.9.29,0.002584218978881836,0.0011730194091796875,1.0967254638671875e-05,0.0013647079467773438,3.123283386230469e-05,boltzmann,0.005899190902709961,1.0,0.028850555419921875,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.07599999999999998,5003.0
20210722_Tvib300K_Trot300K_3.spec,0.0009503364562988281,1.430511474609375e-05,0.0011734962463378906,0.017458438873291016,5405.405405405407,300.0,296.0,300.0,300.0,0.0003311634063720703,0.0006837844848632812,cython,300.0,fft,0.003645181655883789,0.029031991958618164,0.0007274150848388672,0.0010285377502441406,0.04,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963034.990007,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009198427200317383,1000.0,"{'_check_line_databank': 0.0003311634063720703, 'reinitialize_1': 0.001194000244140625, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.001352071762084961, 'reinitialize_4': 3.147125244140625e-05, 'reinitialize': 0.0025932788848876953, 'scaled_eq_linestrength': 0.005720376968383789, 'calc_lineshift': 0.0007274150848388672, 'calc_hwhm': 0.003645181655883789, '_generate_wavenumber_arrays': 0.0006837844848632812, 'precompute_DLM_lineshapes': 0.009198427200317383, 'DLM_Initialized_vectors': 1.430511474609375e-05, 'DLM_closest_matching_line': 0.0011734962463378906, 'DLM_Distribute_lines': 0.0009503364562988281, 'DLM_convolve': 0.017458438873291016, 'calc_line_broadening': 0.029031991958618164, 'calc_other_spectral_quan': 0.0010285377502441406, 'spectrum_calc_before_obj': 0.04384756088256836}",0.0,0.9.29,0.0025932788848876953,0.001194000244140625,1.1205673217773438e-05,0.001352071762084961,3.147125244140625e-05,boltzmann,0.005720376968383789,1.0,0.04384756088256836,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.07399999999999998,5003.0
20210722_Tvib300K_Trot300K_4.spec,0.0008940696716308594,1.0013580322265625e-05,0.0013861656188964844,0.019877910614013672,5555.5555555555575,300.0,296.0,300.0,300.0,0.0008602142333984375,0.000843048095703125,cython,300.0,fft,0.0033936500549316406,0.03284144401550293,0.0009541511535644531,0.0008797645568847656,0.05,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.1460068,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.010451316833496094,1000.0,"{'_check_line_databank': 0.0008602142333984375, 'reinitialize_1': 0.0014722347259521484, 'reinitialize_2': 1.1920928955078125e-05, 'reinitialize_3': 0.0014600753784179688, 'reinitialize_4': 3.2901763916015625e-05, 'reinitialize': 0.0029823780059814453, 'scaled_eq_linestrength': 0.0065174102783203125, 'calc_lineshift': 0.0009541511535644531, 'calc_hwhm': 0.0033936500549316406, '_generate_wavenumber_arrays': 0.000843048095703125, 'precompute_DLM_lineshapes': 0.010451316833496094, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0013861656188964844, 'DLM_Distribute_lines': 0.0008940696716308594, 'DLM_convolve': 0.019877910614013672, 'calc_line_broadening': 0.03284144401550293, 'calc_other_spectral_quan': 0.0008797645568847656, 'spectrum_calc_before_obj': 0.049368858337402344}",0.0,0.9.29,0.0029823780059814453,0.0014722347259521484,1.1920928955078125e-05,0.0014600753784179688,3.2901763916015625e-05,boltzmann,0.0065174102783203125,1.0,0.049368858337402344,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.07199999999999998,5003.0
20210722_Tvib300K_Trot300K_5.spec,0.0009014606475830078,7.867813110351562e-06,0.0014116764068603516,0.019522905349731445,5714.285714285716,300.0,296.0,300.0,300.0,0.00033736228942871094,0.0009028911590576172,cython,300.0,fft,0.0037963390350341797,0.03156113624572754,0.0009763240814208984,0.0009465217590332031,0.05,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.2940068,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009345769882202148,1000.0,"{'_check_line_databank': 0.00033736228942871094, 'reinitialize_1': 0.0011887550354003906, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.001352071762084961, 'reinitialize_4': 3.123283386230469e-05, 'reinitialize': 0.002588510513305664, 'scaled_eq_linestrength': 0.005987644195556641, 'calc_lineshift': 0.0009763240814208984, 'calc_hwhm': 0.0037963390350341797, '_generate_wavenumber_arrays': 0.0009028911590576172, 'precompute_DLM_lineshapes': 0.009345769882202148, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0014116764068603516, 'DLM_Distribute_lines': 0.0009014606475830078, 'DLM_convolve': 0.019522905349731445, 'calc_line_broadening': 0.03156113624572754, 'calc_other_spectral_quan': 0.0009465217590332031, 'spectrum_calc_before_obj': 0.04717588424682617}",0.0,0.9.29,0.002588510513305664,0.0011887550354003906,1.1205673217773438e-05,0.001352071762084961,3.123283386230469e-05,boltzmann,0.005987644195556641,1.0,0.04717588424682617,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.06999999999999998,5003.0
20210722_Tvib300K_Trot300K_6.spec,0.0008063316345214844,6.67572021484375e-06,0.0011637210845947266,0.01964402198791504,5882.352941176473,300.0,296.0,300.0,300.0,0.0003414154052734375,0.0006628036499023438,cython,300.0,fft,0.0041043758392333984,0.030354738235473633,0.0007300376892089844,0.0009572505950927734,0.05,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.4380066,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.008581161499023438,1000.0,"{'_check_line_databank': 0.0003414154052734375, 'reinitialize_1': 0.0013937950134277344, 'reinitialize_2': 1.239776611328125e-05, 'reinitialize_3': 0.0015914440155029297, 'reinitialize_4': 3.504753112792969e-05, 'reinitialize': 0.0030410289764404297, 'scaled_eq_linestrength': 0.0056459903717041016, 'calc_lineshift': 0.0007300376892089844, 'calc_hwhm': 0.0041043758392333984, '_generate_wavenumber_arrays': 0.0006628036499023438, 'precompute_DLM_lineshapes': 0.008581161499023438, 'DLM_Initialized_vectors': 6.67572021484375e-06, 'DLM_closest_matching_line': 0.0011637210845947266, 'DLM_Distribute_lines': 0.0008063316345214844, 'DLM_convolve': 0.01964402198791504, 'calc_line_broadening': 0.030354738235473633, 'calc_other_spectral_quan': 0.0009572505950927734, 'spectrum_calc_before_obj': 0.0458989143371582}",0.0,0.9.29,0.0030410289764404297,0.0013937950134277344,1.239776611328125e-05,0.0015914440155029297,3.504753112792969e-05,boltzmann,0.0056459903717041016,1.0,0.0458989143371582,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.06799999999999998,5003.0
20210722_Tvib300K_Trot300K_7.spec,0.0008592605590820312,8.58306884765625e-06,0.0011448860168457031,0.003725290298461914,6060.606060606063,300.0,296.0,300.0,300.0,0.0003349781036376953,0.0006873607635498047,cython,300.0,fft,0.003725767135620117,0.015541315078735352,0.0007925033569335938,0.0007760524749755859,0.03,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.5700066,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009437799453735352,1000.0,"{'_check_line_databank': 0.0003349781036376953, 'reinitialize_1': 0.0011992454528808594, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0014202594757080078, 'reinitialize_4': 3.361701965332031e-05, 'reinitialize': 0.002669095993041992, 'scaled_eq_linestrength': 0.006136894226074219, 'calc_lineshift': 0.0007925033569335938, 'calc_hwhm': 0.003725767135620117, '_generate_wavenumber_arrays': 0.0006873607635498047, 'precompute_DLM_lineshapes': 0.009437799453735352, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.0011448860168457031, 'DLM_Distribute_lines': 0.0008592605590820312, 'DLM_convolve': 0.003725290298461914, 'calc_line_broadening': 0.015541315078735352, 'calc_other_spectral_quan': 0.0007760524749755859, 'spectrum_calc_before_obj': 0.03072333335876465}",0.0,0.9.29,0.002669095993041992,0.0011992454528808594,1.1205673217773438e-05,0.0014202594757080078,3.361701965332031e-05,boltzmann,0.006136894226074219,1.0,0.03072333335876465,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.06599999999999998,5003.0
20210722_Tvib300K_Trot300K_8.spec,0.0009398460388183594,9.059906005859375e-06,0.0011909008026123047,0.017888784408569336,6250.000000000003,300.0,296.0,300.0,300.0,0.000335693359375,0.000812530517578125,cython,300.0,fft,0.0033559799194335938,0.03045344352722168,0.0007419586181640625,0.0009639263153076172,0.04,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.7100065,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.01022028923034668,1000.0,"{'_check_line_databank': 0.000335693359375, 'reinitialize_1': 0.0011818408966064453, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0013685226440429688, 'reinitialize_4': 3.218650817871094e-05, 'reinitialize': 0.002598285675048828, 'scaled_eq_linestrength': 0.005610466003417969, 'calc_lineshift': 0.0007419586181640625, 'calc_hwhm': 0.0033559799194335938, '_generate_wavenumber_arrays': 0.000812530517578125, 'precompute_DLM_lineshapes': 0.01022028923034668, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0011909008026123047, 'DLM_Distribute_lines': 0.0009398460388183594, 'DLM_convolve': 0.017888784408569336, 'calc_line_broadening': 0.03045344352722168, 'calc_other_spectral_quan': 0.0009639263153076172, 'spectrum_calc_before_obj': 0.04494166374206543}",0.0,0.9.29,0.002598285675048828,0.0011818408966064453,1.1444091796875e-05,0.0013685226440429688,3.218650817871094e-05,boltzmann,0.005610466003417969,1.0,0.04494166374206543,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.06399999999999997,5003.0
20210722_Tvib300K_Trot300K_9.spec,0.0008482933044433594,8.344650268554688e-06,0.001180887222290039,0.019246578216552734,6451.6129032258095,300.0,296.0,300.0,300.0,0.000331878662109375,0.00072479248046875,cython,300.0,fft,0.004276752471923828,0.030321359634399414,0.0007317066192626953,0.0011153221130371094,0.05,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.8540063,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.008845090866088867,1000.0,"{'_check_line_databank': 0.000331878662109375, 'reinitialize_1': 0.001188039779663086, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0013611316680908203, 'reinitialize_4': 3.147125244140625e-05, 'reinitialize': 0.0025963783264160156, 'scaled_eq_linestrength': 0.005519866943359375, 'calc_lineshift': 0.0007317066192626953, 'calc_hwhm': 0.004276752471923828, '_generate_wavenumber_arrays': 0.00072479248046875, 'precompute_DLM_lineshapes': 0.008845090866088867, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.001180887222290039, 'DLM_Distribute_lines': 0.0008482933044433594, 'DLM_convolve': 0.019246578216552734, 'calc_line_broadening': 0.030321359634399414, 'calc_other_spectral_quan': 0.0011153221130371094, 'spectrum_calc_before_obj': 0.04569673538208008}",0.0,0.9.29,0.0025963783264160156,0.001188039779663086,1.0967254638671875e-05,0.0013611316680908203,3.147125244140625e-05,boltzmann,0.005519866943359375,1.0,0.04569673538208008,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.06199999999999997,5003.0
20210722_Tvib300K_Trot300K_10.spec,0.000946044921875,8.106231689453125e-06,0.001199960708618164,0.003963947296142578,6666.66666666667,300.0,296.0,300.0,300.0,0.00035381317138671875,0.0007107257843017578,cython,300.0,fft,0.0029065608978271484,0.016898632049560547,0.0007171630859375,0.0010268688201904297,0.03,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963035.9860063,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.010358333587646484,1000.0,"{'_check_line_databank': 0.00035381317138671875, 'reinitialize_1': 0.0012629032135009766, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0014407634735107422, 'reinitialize_4': 3.457069396972656e-05, 'reinitialize': 0.002754688262939453, 'scaled_eq_linestrength': 0.006363868713378906, 'calc_lineshift': 0.0007171630859375, 'calc_hwhm': 0.0029065608978271484, '_generate_wavenumber_arrays': 0.0007107257843017578, 'precompute_DLM_lineshapes': 0.010358333587646484, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.001199960708618164, 'DLM_Distribute_lines': 0.000946044921875, 'DLM_convolve': 0.003963947296142578, 'calc_line_broadening': 0.016898632049560547, 'calc_other_spectral_quan': 0.0010268688201904297, 'spectrum_calc_before_obj': 0.0317988395690918}",0.0,0.9.29,0.002754688262939453,0.0012629032135009766,1.1205673217773438e-05,0.0014407634735107422,3.457069396972656e-05,boltzmann,0.006363868713378906,1.0,0.0317988395690918,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.05999999999999997,5003.0
20210722_Tvib300K_Trot300K_11.spec,0.0009372234344482422,7.152557373046875e-06,0.001188039779663086,0.003023386001586914,6896.551724137935,300.0,296.0,300.0,300.0,0.0003457069396972656,0.0006718635559082031,cython,300.0,fft,0.0028662681579589844,0.01517033576965332,0.0007441043853759766,0.0009686946868896484,0.03,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963036.118006,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009848356246948242,1000.0,"{'_check_line_databank': 0.0003457069396972656, 'reinitialize_1': 0.001405954360961914, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0018322467803955078, 'reinitialize_4': 3.695487976074219e-05, 'reinitialize': 0.0032927989959716797, 'scaled_eq_linestrength': 0.0061109066009521484, 'calc_lineshift': 0.0007441043853759766, 'calc_hwhm': 0.0028662681579589844, '_generate_wavenumber_arrays': 0.0006718635559082031, 'precompute_DLM_lineshapes': 0.009848356246948242, 'DLM_Initialized_vectors': 7.152557373046875e-06, 'DLM_closest_matching_line': 0.001188039779663086, 'DLM_Distribute_lines': 0.0009372234344482422, 'DLM_convolve': 0.003023386001586914, 'calc_line_broadening': 0.01517033576965332, 'calc_other_spectral_quan': 0.0009686946868896484, 'spectrum_calc_before_obj': 0.030236005783081055}",0.0,0.9.29,0.0032927989959716797,0.001405954360961914,1.1682510375976562e-05,0.0018322467803955078,3.695487976074219e-05,boltzmann,0.0061109066009521484,1.0,0.030236005783081055,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.05799999999999997,5003.0
20210722_Tvib300K_Trot300K_12.spec,0.0008792877197265625,1.0728836059570312e-05,0.0011394023895263672,0.024066686630249023,7142.857142857147,300.0,296.0,300.0,300.0,0.00046372413635253906,0.0006706714630126953,cython,300.0,fft,0.0029251575469970703,0.035362958908081055,0.0007116794586181641,0.0010268688201904297,0.05,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963036.274006,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009055137634277344,1000.0,"{'_check_line_databank': 0.00046372413635253906, 'reinitialize_1': 0.0014719963073730469, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0016102790832519531, 'reinitialize_4': 3.4332275390625e-05, 'reinitialize': 0.003133058547973633, 'scaled_eq_linestrength': 0.006541252136230469, 'calc_lineshift': 0.0007116794586181641, 'calc_hwhm': 0.0029251575469970703, '_generate_wavenumber_arrays': 0.0006706714630126953, 'precompute_DLM_lineshapes': 0.009055137634277344, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.0011394023895263672, 'DLM_Distribute_lines': 0.0008792877197265625, 'DLM_convolve': 0.024066686630249023, 'calc_line_broadening': 0.035362958908081055, 'calc_other_spectral_quan': 0.0010268688201904297, 'spectrum_calc_before_obj': 0.05089998245239258}",0.0,0.9.29,0.003133058547973633,0.0014719963073730469,1.0967254638671875e-05,0.0016102790832519531,3.4332275390625e-05,boltzmann,0.006541252136230469,1.0,0.05089998245239258,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.055999999999999966,5003.0
20210722_Tvib300K_Trot300K_13.spec,0.0009326934814453125,8.106231689453125e-06,0.0011687278747558594,0.008339405059814453,7407.407407407412,300.0,296.0,300.0,300.0,0.000335693359375,0.0007498264312744141,cython,300.0,fft,0.003387451171875,0.020354270935058594,0.0008199214935302734,0.0009655952453613281,0.04,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626963036.4140058,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,1.0,0.009713172912597656,1000.0,"{'_check_line_databank': 0.000335693359375, 'reinitialize_1': 0.0012280941009521484, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0013859272003173828, 'reinitialize_4': 3.170967102050781e-05, 'reinitialize': 0.0026617050170898438, 'scaled_eq_linestrength': 0.006438732147216797, 'calc_lineshift': 0.0008199214935302734, 'calc_hwhm': 0.003387451171875, '_generate_wavenumber_arrays': 0.0007498264312744141, 'precompute_DLM_lineshapes': 0.009713172912597656, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.0011687278747558594, 'DLM_Distribute_lines': 0.0009326934814453125, 'DLM_convolve': 0.008339405059814453, 'calc_line_broadening': 0.020354270935058594, 'calc_other_spectral_quan': 0.0009655952453613281, 'spectrum_calc_before_obj': 0.03578519821166992}",0.0,0.9.29,0.0026617050170898438,0.0012280941009521484,1.1444091796875e-05,0.0013859272003173828,3.170967102050781e-05,boltzmann,0.006438732147216797,1.0,0.03578519821166992,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.053999999999999965,5003.0
