file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,1+wL*wG
20210808_Tvib300K_Trot300K.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,1.9245367050170896,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365843.814917,radis,10.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_10_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.056862592697143555, 'reinitialize': {'copy_database': 0.0002503395080566406, 'memory_usage_warning': 0.0021889209747314453, 'reset_population': 2.47955322265625e-05, 'value': 0.0024814605712890625}, 'scaled_eq_linestrength': 0.003698587417602539, 'calc_lineshift': 0.0005095005035400391, 'calc_hwhm': 0.029154062271118164, 'generate_wavenumber_arrays': 0.013138532638549805, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.05388164520263672, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0006475448608398438, 'DLM_Distribute_lines': 5.459785461425781e-05, 'DLM_convolve': 1.7485120296478271, 'value': 1.8038580417633057}, 'calc_other_spectral_quan': 0.014722824096679688, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,4.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,9.0
20210808_Tvib300K_Trot300K_1.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.22336173057556152,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365844.9548965,radis,10.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_10_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0020737648010253906, 'reinitialize': {'copy_database': 0.00043010711669921875, 'memory_usage_warning': 0.0026433467864990234, 'reset_population': 4.6253204345703125e-05, 'value': 0.003147602081298828}, 'scaled_eq_linestrength': 0.005255937576293945, 'calc_lineshift': 0.0013659000396728516, 'calc_hwhm': 0.018407106399536133, 'generate_wavenumber_arrays': 0.0069348812103271484, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.011733055114746094, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.0005955696105957031, 'DLM_Distribute_lines': 0.0009596347808837891, 'DLM_convolve': 0.15793538093566895, 'value': 0.17199468612670898}, 'calc_other_spectral_quan': 0.014042377471923828, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,4.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,9.0
20210808_Tvib300K_Trot300K_2.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,2.4008212089538574,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365884.9621613,radis,100.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_100_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.04255104064941406, 'reinitialize': {'copy_database': 0.00023937225341796875, 'memory_usage_warning': 0.001522064208984375, 'reset_population': 2.47955322265625e-05, 'value': 0.0018012523651123047}, 'scaled_eq_linestrength': 0.002561807632446289, 'calc_lineshift': 0.0005006790161132812, 'calc_hwhm': 0.03520488739013672, 'generate_wavenumber_arrays': 0.009069681167602539, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.10151052474975586, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0006210803985595703, 'DLM_Distribute_lines': 6.29425048828125e-05, 'DLM_convolve': 2.1904361248016357, 'value': 2.2934272289276123}, 'calc_other_spectral_quan': 0.015594005584716797, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,11.0
20210808_Tvib300K_Trot300K_3.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.28109049797058105,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365886.3061366,radis,100.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_100_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0043222904205322266, 'reinitialize': {'copy_database': 0.0008187294006347656, 'memory_usage_warning': 0.0049550533294677734, 'reset_population': 8.320808410644531e-05, 'value': 0.00591731071472168}, 'scaled_eq_linestrength': 0.009409904479980469, 'calc_lineshift': 0.0015115737915039062, 'calc_hwhm': 0.02127218246459961, 'generate_wavenumber_arrays': 0.0073926448822021484, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.016692638397216797, 'DLM_Initialized_vectors': 4.6253204345703125e-05, 'DLM_closest_matching_line': 0.0010068416595458984, 'DLM_Distribute_lines': 0.0014960765838623047, 'DLM_convolve': 0.19550848007202148, 'value': 0.21566200256347656}, 'calc_other_spectral_quan': 0.015404224395751953, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,11.0
20210808_Tvib300K_Trot300K_4.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,1.9631853103637693,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365904.3378065,radis,1000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_1000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.024572134017944336, 'reinitialize': {'copy_database': 0.0002410411834716797, 'memory_usage_warning': 0.0013535022735595703, 'reset_population': 2.5987625122070312e-05, 'value': 0.0016357898712158203}, 'scaled_eq_linestrength': 0.0025680065155029297, 'calc_lineshift': 0.0005419254302978516, 'calc_hwhm': 0.009985923767089844, 'generate_wavenumber_arrays': 0.0076410770416259766, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.05963706970214844, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0006611347198486328, 'DLM_Distribute_lines': 0.0019991397857666016, 'DLM_convolve': 1.8395159244537354, 'value': 1.902489423751831}, 'calc_other_spectral_quan': 0.01365971565246582, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,11.0
20210808_Tvib300K_Trot300K_5.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.22846770286560056,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365905.4097867,radis,1000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_1000_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0010628700256347656, 'reinitialize': {'copy_database': 0.000232696533203125, 'memory_usage_warning': 0.0013179779052734375, 'reset_population': 2.4318695068359375e-05, 'value': 0.0015888214111328125}, 'scaled_eq_linestrength': 0.002598285675048828, 'calc_lineshift': 0.0004973411560058594, 'calc_hwhm': 0.015706777572631836, 'generate_wavenumber_arrays': 0.007632732391357422, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.013675689697265625, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0006566047668457031, 'DLM_Distribute_lines': 0.001161813735961914, 'DLM_convolve': 0.16594266891479492, 'value': 0.18200039863586426}, 'calc_other_spectral_quan': 0.01729416847229004, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,11.0
20210808_Tvib300K_Trot300K_6.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,1.7051260471343994,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365920.4735115,radis,10000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_10000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00225830078125, 'reinitialize': {'copy_database': 0.00040221214294433594, 'memory_usage_warning': 0.0014111995697021484, 'reset_population': 2.5272369384765625e-05, 'value': 0.0018527507781982422}, 'scaled_eq_linestrength': 0.002858877182006836, 'calc_lineshift': 0.0005176067352294922, 'calc_hwhm': 0.009578704833984375, 'generate_wavenumber_arrays': 0.007048368453979492, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.06421566009521484, 'DLM_Initialized_vectors': 9.5367431640625e-06, 'DLM_closest_matching_line': 0.0011260509490966797, 'DLM_Distribute_lines': 0.0025670528411865234, 'DLM_convolve': 1.5945322513580322, 'value': 1.6632022857666016}, 'calc_other_spectral_quan': 0.01771712303161621, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,11.0
20210808_Tvib300K_Trot300K_7.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.22389483451843264,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365921.5454915,radis,10000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_10000_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0021889209747314453, 'reinitialize': {'copy_database': 0.0003883838653564453, 'memory_usage_warning': 0.0013370513916015625, 'reset_population': 2.5510787963867188e-05, 'value': 0.0017650127410888672}, 'scaled_eq_linestrength': 0.002911806106567383, 'calc_lineshift': 0.0005445480346679688, 'calc_hwhm': 0.012096881866455078, 'generate_wavenumber_arrays': 0.006596803665161133, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.013997316360473633, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.0010323524475097656, 'DLM_Distribute_lines': 0.0013942718505859375, 'DLM_convolve': 0.16489267349243164, 'value': 0.18227505683898926}, 'calc_other_spectral_quan': 0.0154266357421875, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,2.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,11.0
20210808_Tvib300K_Trot300K_8.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,3.069098234176636,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365937.6771972,radis,100000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_100000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0029571056365966797, 'reinitialize': {'copy_database': 0.003066539764404297, 'memory_usage_warning': 0.0014941692352294922, 'reset_population': 2.86102294921875e-05, 'value': 0.004606723785400391}, 'scaled_eq_linestrength': 0.06351828575134277, 'calc_lineshift': 0.0017535686492919922, 'calc_hwhm': 0.02851128578186035, 'generate_wavenumber_arrays': 0.021079301834106445, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.09958434104919434, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.005291938781738281, 'DLM_Distribute_lines': 0.002242565155029297, 'DLM_convolve': 2.8251407146453857, 'value': 2.933279514312744}, 'calc_other_spectral_quan': 0.013252496719360352, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,3.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,16.0
20210808_Tvib300K_Trot300K_9.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.3735530376434326,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365939.8451574,radis,100000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_100000_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.011527776718139648, 'reinitialize': {'copy_database': 0.005355119705200195, 'memory_usage_warning': 0.006133556365966797, 'reset_population': 0.00010991096496582031, 'value': 0.011688232421875}, 'scaled_eq_linestrength': 0.022571802139282227, 'calc_lineshift': 0.0024383068084716797, 'calc_hwhm': 0.0420072078704834, 'generate_wavenumber_arrays': 0.010445356369018555, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.021923542022705078, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.004855155944824219, 'DLM_Distribute_lines': 0.0019364356994628906, 'DLM_convolve': 0.22993135452270508, 'value': 0.25937414169311523}, 'calc_other_spectral_quan': 0.013304710388183594, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,3.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,16.0
20210808_Tvib300K_Trot300K_10.spec,380000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,3.694352149963379,0.0,1.0,hitran,"/home/pipebomb/Downloads/CO2 Database/02_500-625_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_625-750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_750-1000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1000-1500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_1500-2000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2000-2125_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2125-2250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2250-2500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_2500-3000_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3000-3250_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3250-3500_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3500-3750_HITEMP2010.par,/home/pipebomb/Downloads/CO2 Database/02_3750-4000_HITEMP2010.par",0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,0.0,"1,2,3",1628365955.8608658,radis,500000.0,0.0,0.0,0.0,1.0,1.0,CO2,CO2_500_4000_500000_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00575709342956543, 'reinitialize': {'copy_database': 0.009367704391479492, 'memory_usage_warning': 0.0014417171478271484, 'reset_population': 2.8371810913085938e-05, 'value': 0.010854959487915039}, 'scaled_eq_linestrength': 0.020569801330566406, 'calc_lineshift': 0.002179861068725586, 'calc_hwhm': 0.020933151245117188, 'generate_wavenumber_arrays': 0.009356260299682617, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.11903119087219238, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0251615047454834, 'DLM_Distribute_lines': 0.011775970458984375, 'DLM_convolve': 3.4532196521759033, 'value': 3.610391139984131}, 'calc_other_spectral_quan': 0.014210224151611328, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,7487030.0,boltzmann,4.0,5.0,0.01,0.01,4000.0,4150.0,500.0,350.0,cm-1,0.01,380001.0,21.0
