file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210807_Tvib300K_Trot300K_34.spec,19999.999999999996,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.06127047538757324,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343719.7698417,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002493858337402344, 'reinitialize': {'copy_database': 0.0007529258728027344, 'memory_usage_warning': 0.001371145248413086, 'reset_population': 3.075599670410156e-05, 'value': 0.002170085906982422}, 'scaled_eq_linestrength': 0.005861043930053711, 'calc_lineshift': 0.0007581710815429688, 'calc_hwhm': 0.01695394515991211, 'generate_wavenumber_arrays': 0.0004596710205078125, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.011874675750732422, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.0010042190551757812, 'DLM_Distribute_lines': 0.0016896724700927734, 'DLM_convolve': 0.01900339126586914, 'value': 0.03382158279418945}, 'calc_other_spectral_quan': 0.0009200572967529297, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.020000000000000004,5001.0
20210807_Tvib300K_Trot300K_35.spec,39999.99999999996,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.09329986572265625,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343719.94584,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024628639221191406, 'reinitialize': {'copy_database': 0.0004906654357910156, 'memory_usage_warning': 0.0012280941009521484, 'reset_population': 3.0040740966796875e-05, 'value': 0.001764059066772461}, 'scaled_eq_linestrength': 0.005345821380615234, 'calc_lineshift': 0.000751495361328125, 'calc_hwhm': 0.0177152156829834, 'generate_wavenumber_arrays': 0.0006976127624511719, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.023041725158691406, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.0010166168212890625, 'DLM_Distribute_lines': 0.0035164356231689453, 'DLM_convolve': 0.037725210189819336, 'value': 0.06576967239379883}, 'calc_other_spectral_quan': 0.0009326934814453125, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.010000000000000009,5001.0
20210807_Tvib300K_Trot300K_36.spec,40000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.10329627990722656,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343720.133838,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0004134178161621094, 'reinitialize': {'copy_database': 0.0009679794311523438, 'memory_usage_warning': 0.0018963813781738281, 'reset_population': 3.528594970703125e-05, 'value': 0.0029244422912597656}, 'scaled_eq_linestrength': 0.007061481475830078, 'calc_lineshift': 0.00091552734375, 'calc_hwhm': 0.01790475845336914, 'generate_wavenumber_arrays': 0.0006680488586425781, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.0206449031829834, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.001041412353515625, 'DLM_Distribute_lines': 0.0018649101257324219, 'DLM_convolve': 0.04856729507446289, 'value': 0.0723719596862793}, 'calc_other_spectral_quan': 0.0009398460388183594, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.01,5001.0
20210807_Tvib300K_Trot300K_37.spec,44444.44444444444,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.09704899787902832,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343720.321836,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00026226043701171875, 'reinitialize': {'copy_database': 0.0009629726409912109, 'memory_usage_warning': 0.001367330551147461, 'reset_population': 3.24249267578125e-05, 'value': 0.002382993698120117}, 'scaled_eq_linestrength': 0.006172895431518555, 'calc_lineshift': 0.0007176399230957031, 'calc_hwhm': 0.019854307174682617, 'generate_wavenumber_arrays': 0.0006821155548095703, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.023079872131347656, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0010790824890136719, 'DLM_Distribute_lines': 0.001363515853881836, 'DLM_convolve': 0.040169477462768555, 'value': 0.0659327507019043}, 'calc_other_spectral_quan': 0.0009660720825195312, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.009000000000000001,5001.0
20210807_Tvib300K_Trot300K_38.spec,50000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.10660958290100098,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343720.5218341,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00025844573974609375, 'reinitialize': {'copy_database': 0.0006654262542724609, 'memory_usage_warning': 0.0014390945434570312, 'reset_population': 3.314018249511719e-05, 'value': 0.0021562576293945312}, 'scaled_eq_linestrength': 0.005881547927856445, 'calc_lineshift': 0.0007736682891845703, 'calc_hwhm': 0.020173311233520508, 'generate_wavenumber_arrays': 0.0007596015930175781, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.02556324005126953, 'DLM_Initialized_vectors': 1.2159347534179688e-05, 'DLM_closest_matching_line': 0.0013167858123779297, 'DLM_Distribute_lines': 0.004539966583251953, 'DLM_convolve': 0.04349184036254883, 'value': 0.07553553581237793}, 'calc_other_spectral_quan': 0.0009853839874267578, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.008,5001.0
20210807_Tvib300K_Trot300K_39.spec,57142.857142857145,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.11883330345153809,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343720.7378318,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002987384796142578, 'reinitialize': {'copy_database': 0.0006444454193115234, 'memory_usage_warning': 0.0013415813446044922, 'reset_population': 3.457069396972656e-05, 'value': 0.0020380020141601562}, 'scaled_eq_linestrength': 0.006688594818115234, 'calc_lineshift': 0.0008826255798339844, 'calc_hwhm': 0.017736196517944336, 'generate_wavenumber_arrays': 0.0008096694946289062, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.02857041358947754, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0011889934539794922, 'DLM_Distribute_lines': 0.005733966827392578, 'DLM_convolve': 0.05321455001831055, 'value': 0.08924627304077148}, 'calc_other_spectral_quan': 0.0010459423065185547, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.007,5001.0
20210807_Tvib300K_Trot300K_40.spec,66666.66666666667,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.13370513916015625,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343720.9738295,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002663135528564453, 'reinitialize': {'copy_database': 0.0006031990051269531, 'memory_usage_warning': 0.0014233589172363281, 'reset_population': 2.9802322387695312e-05, 'value': 0.0020716190338134766}, 'scaled_eq_linestrength': 0.006285905838012695, 'calc_lineshift': 0.0008244514465332031, 'calc_hwhm': 0.01631760597229004, 'generate_wavenumber_arrays': 0.0009088516235351562, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.03499937057495117, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0011508464813232422, 'DLM_Distribute_lines': 0.005103111267089844, 'DLM_convolve': 0.06397819519042969, 'value': 0.1058187484741211}, 'calc_other_spectral_quan': 0.0011372566223144531, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.006,5001.0
20210807_Tvib300K_Trot300K_41.spec,80000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.15971779823303223,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343721.2418268,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002391338348388672, 'reinitialize': {'copy_database': 0.0004100799560546875, 'memory_usage_warning': 0.0012519359588623047, 'reset_population': 2.9802322387695312e-05, 'value': 0.0017066001892089844}, 'scaled_eq_linestrength': 0.005620718002319336, 'calc_lineshift': 0.0007100105285644531, 'calc_hwhm': 0.018487215042114258, 'generate_wavenumber_arrays': 0.0010428428649902344, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.04324746131896973, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.001219034194946289, 'DLM_Distribute_lines': 0.006008148193359375, 'DLM_convolve': 0.07942485809326172, 'value': 0.13058066368103027}, 'calc_other_spectral_quan': 0.001252889633178711, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.005,5001.0
20210807_Tvib300K_Trot300K_42.spec,100000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.20003008842468262,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343721.5578237,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023937225341796875, 'reinitialize': {'copy_database': 0.00040268898010253906, 'memory_usage_warning': 0.0011777877807617188, 'reset_population': 2.9802322387695312e-05, 'value': 0.0016245841979980469}, 'scaled_eq_linestrength': 0.005659818649291992, 'calc_lineshift': 0.0007464885711669922, 'calc_hwhm': 0.016538381576538086, 'generate_wavenumber_arrays': 0.0012807846069335938, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.05766749382019043, 'DLM_Initialized_vectors': 1.3589859008789062e-05, 'DLM_closest_matching_line': 0.001961946487426758, 'DLM_Distribute_lines': 0.009395599365234375, 'DLM_convolve': 0.1025688648223877, 'value': 0.17244529724121094}, 'calc_other_spectral_quan': 0.0014214515686035156, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.004,5001.0
20210807_Tvib300K_Trot300K_43.spec,133333.33333333337,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.2562990188598633,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343721.9378197,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024175643920898438, 'reinitialize': {'copy_database': 0.0005033016204833984, 'memory_usage_warning': 0.0012621879577636719, 'reset_population': 2.956390380859375e-05, 'value': 0.001809835433959961}, 'scaled_eq_linestrength': 0.00582122802734375, 'calc_lineshift': 0.0007927417755126953, 'calc_hwhm': 0.016823291778564453, 'generate_wavenumber_arrays': 0.002672433853149414, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.07799816131591797, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.0013277530670166016, 'DLM_Distribute_lines': 0.009124517440795898, 'DLM_convolve': 0.13680315017700195, 'value': 0.22627615928649902}, 'calc_other_spectral_quan': 0.0017666816711425781, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.002999999999999999,5001.0
20210807_Tvib300K_Trot300K_44.spec,200000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.3903799057006836,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343722.4978142,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002434253692626953, 'reinitialize': {'copy_database': 0.00041985511779785156, 'memory_usage_warning': 0.001260995864868164, 'reset_population': 3.123283386230469e-05, 'value': 0.0017261505126953125}, 'scaled_eq_linestrength': 0.0070383548736572266, 'calc_lineshift': 0.00084686279296875, 'calc_hwhm': 0.017240524291992188, 'generate_wavenumber_arrays': 0.0023889541625976562, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.11247801780700684, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0015718936920166016, 'DLM_Distribute_lines': 0.013075828552246094, 'DLM_convolve': 0.22997832298278809, 'value': 0.3584861755371094}, 'calc_other_spectral_quan': 0.002321958541870117, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.002,5001.0
20210807_Tvib300K_Trot300K_45.spec,399999.99999999965,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.7961714267730713,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343723.5498035,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024080276489257812, 'reinitialize': {'copy_database': 0.0004208087921142578, 'memory_usage_warning': 0.0012371540069580078, 'reset_population': 2.9087066650390625e-05, 'value': 0.00170135498046875}, 'scaled_eq_linestrength': 0.005842924118041992, 'calc_lineshift': 0.0007898807525634766, 'calc_hwhm': 0.01682591438293457, 'generate_wavenumber_arrays': 0.0048868656158447266, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.23442387580871582, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.002282381057739258, 'DLM_Distribute_lines': 0.022181272506713867, 'DLM_convolve': 0.500638484954834, 'value': 0.7617194652557373}, 'calc_other_spectral_quan': 0.004083395004272461, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.0010000000000000009,5001.0
20210807_Tvib300K_Trot300K_46.spec,400000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.7745041847229004,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343724.6017928,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002493858337402344, 'reinitialize': {'copy_database': 0.0005793571472167969, 'memory_usage_warning': 0.0016384124755859375, 'reset_population': 3.218650817871094e-05, 'value': 0.002267122268676758}, 'scaled_eq_linestrength': 0.005438089370727539, 'calc_lineshift': 0.0010318756103515625, 'calc_hwhm': 0.01787281036376953, 'generate_wavenumber_arrays': 0.0048274993896484375, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.2235264778137207, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.002153635025024414, 'DLM_Distribute_lines': 0.021564483642578125, 'DLM_convolve': 0.4891536235809326, 'value': 0.7386393547058105}, 'calc_other_spectral_quan': 0.004079341888427734, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.001,5001.0
20210807_Tvib300K_Trot300K_47.spec,444444.44444444444,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.872922420501709,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343725.773781,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024366378784179688, 'reinitialize': {'copy_database': 0.0004169940948486328, 'memory_usage_warning': 0.0012493133544921875, 'reset_population': 2.956390380859375e-05, 'value': 0.0017099380493164062}, 'scaled_eq_linestrength': 0.0058002471923828125, 'calc_lineshift': 0.0007398128509521484, 'calc_hwhm': 0.017688989639282227, 'generate_wavenumber_arrays': 0.0055925846099853516, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.24664688110351562, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.002440214157104492, 'DLM_Distribute_lines': 0.022443056106567383, 'DLM_convolve': 0.5623528957366943, 'value': 0.8363268375396729}, 'calc_other_spectral_quan': 0.004723548889160156, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.0009,5001.0
20210807_Tvib300K_Trot300K_48.spec,500000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,1.0310869216918945,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343727.1337671,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002961158752441406, 'reinitialize': {'copy_database': 0.00096893310546875, 'memory_usage_warning': 0.001478433609008789, 'reset_population': 3.695487976074219e-05, 'value': 0.002505779266357422}, 'scaled_eq_linestrength': 0.0059967041015625, 'calc_lineshift': 0.0007116794586181641, 'calc_hwhm': 0.017253398895263672, 'generate_wavenumber_arrays': 0.00614476203918457, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.27663445472717285, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.002507448196411133, 'DLM_Distribute_lines': 0.023871421813964844, 'DLM_convolve': 0.6876475811004639, 'value': 0.9931426048278809}, 'calc_other_spectral_quan': 0.004937648773193359, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.0008,5001.0
20210807_Tvib300K_Trot300K_49.spec,571428.5714285715,300.0,296.0,300.0,300.0,cython,300.0,voigt,1.130596399307251,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343728.637752,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002453327178955078, 'reinitialize': {'copy_database': 0.0006759166717529297, 'memory_usage_warning': 0.0016760826110839844, 'reset_population': 2.956390380859375e-05, 'value': 0.002397298812866211}, 'scaled_eq_linestrength': 0.006160736083984375, 'calc_lineshift': 0.0009083747863769531, 'calc_hwhm': 0.01734328269958496, 'generate_wavenumber_arrays': 0.007991313934326172, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.3191254138946533, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.002707242965698242, 'DLM_Distribute_lines': 0.02535271644592285, 'DLM_convolve': 0.7393856048583984, 'value': 1.0892255306243896}, 'calc_other_spectral_quan': 0.006223917007446289, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.0007,5001.0
20210807_Tvib300K_Trot300K_50.spec,666666.6666666666,300.0,296.0,300.0,300.0,cython,300.0,voigt,1.383072853088379,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343730.4537337,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002453327178955078, 'reinitialize': {'copy_database': 0.00044465065002441406, 'memory_usage_warning': 0.0013704299926757812, 'reset_population': 3.600120544433594e-05, 'value': 0.001867532730102539}, 'scaled_eq_linestrength': 0.006201267242431641, 'calc_lineshift': 0.0008442401885986328, 'calc_hwhm': 0.01798391342163086, 'generate_wavenumber_arrays': 0.008721590042114258, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.3831768035888672, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0029854774475097656, 'DLM_Distribute_lines': 0.02736663818359375, 'DLM_convolve': 0.9230642318725586, 'value': 1.3397974967956543}, 'calc_other_spectral_quan': 0.007308244705200195, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.0006000000000000001,5001.0
20210807_Tvib300K_Trot300K_51.spec,800000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,1.7120888233184814,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343732.6537116,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002624988555908203, 'reinitialize': {'copy_database': 0.0005016326904296875, 'memory_usage_warning': 0.0013518333435058594, 'reset_population': 3.2901763916015625e-05, 'value': 0.0019032955169677734}, 'scaled_eq_linestrength': 0.006197214126586914, 'calc_lineshift': 0.0008060932159423828, 'calc_hwhm': 0.020075082778930664, 'generate_wavenumber_arrays': 0.012717723846435547, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.5089924335479736, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.003524303436279297, 'DLM_Distribute_lines': 0.029659748077392578, 'DLM_convolve': 1.114318609237671, 'value': 1.6604959964752197}, 'calc_other_spectral_quan': 0.009525060653686523, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.0005,5001.0
